id,_date,_open,_high,_low,_close,adj_close,volumen
156,1999-09-02,0.054036,0.055469,0.052865,0.055208,0.050638,341088000
157,1999-09-03,0.05625,0.057031,0.055208,0.055599,0.050997,258864000
158,1999-09-07,0.05651,0.05651,0.055078,0.055339,0.050758,124416000
159,1999-09-08,0.055469,0.055859,0.055208,0.055208,0.050638,170064000
160,1999-09-09,0.055729,0.05612,0.053385,0.054427,0.049922,209472000
161,1999-09-10,0.055339,0.05599,0.054948,0.055208,0.050638,167424000
162,1999-09-13,0.055469,0.055469,0.052865,0.053385,0.048966,174432000
163,1999-09-14,0.053385,0.053385,0.051563,0.051823,0.047533,250368000
164,1999-09-15,0.051172,0.052865,0.050781,0.052214,0.047892,212736000
165,1999-09-16,0.051563,0.052083,0.05026,0.050911,0.046697,158112000
166,1999-09-17,0.050586,0.051042,0.048958,0.050781,0.046578,171648000
167,1999-09-20,0.04987,0.050521,0.048958,0.048958,0.044906,229104000
168,1999-09-21,0.047917,0.048177,0.04362,0.044271,0.040607,737328000
169,1999-09-22,0.044271,0.045573,0.041667,0.045313,0.041562,375984000
170,1999-09-23,0.045443,0.045573,0.041146,0.041536,0.038098,379584000
171,1999-09-24,0.041667,0.042708,0.034896,0.03776,0.034634,684912000
172,1999-09-27,0.040234,0.040885,0.03776,0.040104,0.036784,432000000
173,1999-09-28,0.040169,0.044271,0.040104,0.04375,0.040129,413184000
174,1999-09-29,0.044661,0.046354,0.039583,0.040234,0.036904,594048000
175,1999-09-30,0.041667,0.042969,0.039583,0.040104,0.036784,342528000
176,1999-10-01,0.039453,0.040885,0.03776,0.039844,0.036546,347760000
177,1999-10-04,0.041146,0.041276,0.040104,0.040625,0.037262,177600000
178,1999-10-05,0.040625,0.044792,0.040625,0.044531,0.040845,478080000
179,1999-10-06,0.044661,0.052083,0.044271,0.04987,0.045742,1508736000
180,1999-10-07,0.051953,0.051953,0.046354,0.046615,0.042757,487296000
181,1999-10-08,0.046615,0.050391,0.044792,0.048958,0.044906,398928000
182,1999-10-11,0.049349,0.049479,0.046354,0.047656,0.043711,544464000
183,1999-10-12,0.047917,0.048438,0.046875,0.047005,0.043114,322992000
184,1999-10-13,0.046484,0.046484,0.044792,0.045703,0.04192,280368000
185,1999-10-14,0.045833,0.045833,0.044271,0.044792,0.041084,192336000
186,1999-10-15,0.042578,0.044792,0.042448,0.044531,0.040845,210720000
187,1999-10-18,0.044661,0.044661,0.041927,0.042188,0.038696,215184000
188,1999-10-19,0.04349,0.04349,0.039714,0.040495,0.037143,308928000
189,1999-10-20,0.041146,0.042448,0.040495,0.041927,0.038457,348720000
190,1999-10-21,0.041797,0.04388,0.040625,0.04388,0.040248,382128000
191,1999-10-22,0.04375,0.046224,0.04375,0.044922,0.041204,286752000
192,1999-10-25,0.044661,0.045313,0.042708,0.042708,0.039173,213840000
193,1999-10-26,0.044531,0.048438,0.044271,0.046875,0.042995,481248000
194,1999-10-27,0.047135,0.047396,0.04401,0.044792,0.041084,214128000
195,1999-10-28,0.045052,0.045833,0.042448,0.042708,0.039173,222768000
196,1999-10-29,0.043229,0.046875,0.042969,0.046094,0.042279,330528000
197,1999-11-01,0.045313,0.050781,0.045313,0.048958,0.044906,782544000
198,1999-11-02,0.04987,0.052344,0.049479,0.052083,0.047772,837504000
199,1999-11-03,0.054167,0.058594,0.053776,0.057161,0.05243,2011680000
200,1999-11-04,0.057813,0.06237,0.057813,0.060807,0.055774,1260336000
201,1999-11-05,0.0625,0.063021,0.05599,0.058854,0.053982,616368000
202,1999-11-08,0.057031,0.06224,0.055208,0.060547,0.055535,470016000
203,1999-11-09,0.060417,0.060677,0.057292,0.059635,0.054699,272352000
204,1999-11-10,0.059831,0.059896,0.057943,0.059115,0.054222,144048000
205,1999-11-11,0.059115,0.066406,0.057813,0.063281,0.058043,562704000
206,1999-11-12,0.066016,0.066667,0.06224,0.066667,0.061149,501504000
207,1999-11-15,0.067122,0.069141,0.064323,0.065365,0.059955,362208000
208,1999-11-16,0.066927,0.072917,0.066667,0.071615,0.065687,723792000
209,1999-11-17,0.072917,0.078125,0.071875,0.074349,0.068195,786384000
210,1999-11-18,0.075911,0.076563,0.073958,0.074609,0.068433,235968000
211,1999-11-19,0.083594,0.092448,0.083333,0.089323,0.081929,2165184000
212,1999-11-22,0.091602,0.091667,0.083854,0.089193,0.08181,540192000
213,1999-11-23,0.080078,0.083724,0.079167,0.082813,0.075958,553248000
214,1999-11-24,0.082422,0.083333,0.074089,0.080208,0.073569,406848000
215,1999-11-26,0.079427,0.080208,0.077083,0.079688,0.073092,71760000
216,1999-11-29,0.079427,0.080469,0.075,0.076823,0.070464,298608000
217,1999-11-30,0.077083,0.078385,0.072135,0.072135,0.066164,314688000
218,1999-12-01,0.072135,0.076823,0.072135,0.075781,0.069508,223536000
219,1999-12-02,0.076042,0.082422,0.076042,0.08138,0.074644,309888000
220,1999-12-03,0.082161,0.083594,0.078385,0.079427,0.072853,342768000
221,1999-12-06,0.079688,0.082031,0.079688,0.081641,0.074883,178608000
222,1999-12-07,0.082292,0.082422,0.075781,0.078906,0.072375,186384000
223,1999-12-08,0.078646,0.083203,0.078385,0.082422,0.0756,201696000
224,1999-12-09,0.082292,0.084375,0.077083,0.079948,0.07333,214944000
225,1999-12-10,0.08138,0.081771,0.077604,0.079036,0.072494,98304000
226,1999-12-13,0.078125,0.080859,0.077083,0.078776,0.072255,183840000
227,1999-12-14,0.078906,0.080859,0.076693,0.077474,0.071061,273888000
228,1999-12-15,0.076953,0.077344,0.073177,0.075,0.068792,205968000
229,1999-12-16,0.075391,0.076563,0.074219,0.074479,0.068314,132576000
230,1999-12-17,0.076563,0.079557,0.076172,0.078385,0.071897,262080000
231,1999-12-20,0.078516,0.086426,0.075781,0.084896,0.077869,402432000
232,1999-12-21,0.084896,0.088672,0.081771,0.088542,0.081213,388368000
233,1999-12-22,0.088802,0.091667,0.085417,0.090625,0.083124,251184000
234,1999-12-23,0.090755,0.096875,0.090365,0.096615,0.088618,280224000
235,1999-12-27,0.098698,0.098828,0.091927,0.092969,0.085274,202416000
236,1999-12-28,0.092969,0.096354,0.092448,0.092708,0.085034,179184000
237,1999-12-29,0.092513,0.096875,0.092448,0.095833,0.087901,132144000
238,1999-12-30,0.095833,0.097266,0.094271,0.096615,0.088618,139776000
239,1999-12-31,0.096419,0.097917,0.096094,0.097786,0.089692,127344000
240,2000-01-03,0.098438,0.099219,0.091927,0.097526,0.089453,300912000
241,2000-01-04,0.095833,0.096094,0.090104,0.094922,0.087065,300480000
242,2000-01-05,0.092188,0.09375,0.090495,0.091797,0.084199,188352000
243,2000-01-06,0.091797,0.091797,0.082292,0.085807,0.078704,120480000
244,2000-01-07,0.085417,0.088151,0.084115,0.08724,0.080019,71184000
245,2000-01-10,0.0875,0.09375,0.085938,0.090104,0.082646,239856000
246,2000-01-11,0.089583,0.090625,0.086458,0.086458,0.079302,148128000
247,2000-01-12,0.086458,0.086589,0.083073,0.084245,0.077272,123552000
248,2000-01-13,0.084115,0.088542,0.083073,0.08776,0.080496,132192000
249,2000-01-14,0.089063,0.095182,0.088802,0.091536,0.083959,604560000
250,2000-01-18,0.092708,0.095833,0.088542,0.095443,0.087543,261648000
251,2000-01-19,0.095833,0.095833,0.09375,0.094531,0.086706,164688000
252,2000-01-20,0.095313,0.100521,0.09349,0.094271,0.086468,179568000
253,2000-01-21,0.09401,0.094401,0.090885,0.093229,0.085512,544272000
254,2000-01-24,0.096224,0.096224,0.088542,0.089063,0.081691,256944000
255,2000-01-25,0.089453,0.090365,0.085417,0.088281,0.080974,237120000
256,2000-01-26,0.088281,0.090625,0.083073,0.084635,0.077629,232464000
257,2000-01-27,0.085286,0.085286,0.077083,0.080208,0.073569,458208000
258,2000-01-28,0.079167,0.079688,0.07474,0.077865,0.07142,194448000
259,2000-01-31,0.078255,0.079948,0.072917,0.077214,0.070823,182400000
260,2000-02-01,0.077344,0.079688,0.074479,0.079036,0.072494,92976000
261,2000-02-02,0.079427,0.082813,0.079036,0.08125,0.074525,149040000
262,2000-02-03,0.083854,0.085547,0.082031,0.082552,0.075719,108240000
263,2000-02-04,0.085156,0.085156,0.082813,0.084505,0.07751,123696000
264,2000-02-07,0.084896,0.084896,0.079167,0.079297,0.072733,217488000
265,2000-02-08,0.08125,0.085938,0.079167,0.083073,0.076197,468816000
266,2000-02-09,0.086198,0.08763,0.085026,0.085156,0.078107,589056000
267,2000-02-10,0.090365,0.104167,0.090365,0.102604,0.094111,970080000
268,2000-02-11,0.107682,0.107813,0.096615,0.104167,0.095545,423792000
269,2000-02-14,0.104427,0.120833,0.103385,0.120833,0.110831,650112000
270,2000-02-15,0.121094,0.121224,0.111198,0.116146,0.106532,450480000
271,2000-02-16,0.117448,0.125521,0.116146,0.121484,0.111428,1019568000
272,2000-02-17,0.121354,0.126563,0.119531,0.125781,0.11537,535776000
273,2000-02-18,0.123958,0.142188,0.123047,0.140365,0.128747,960864000
274,2000-02-22,0.135938,0.13776,0.13125,0.136458,0.125163,542496000
275,2000-02-23,0.134896,0.138672,0.133203,0.13724,0.12588,511392000
276,2000-02-24,0.138021,0.138932,0.130208,0.135938,0.124686,244320000
